CITY CODE,STATE,METRO/MICRO,URBAN AREA AND STATE,COMPOSITE INDEX,GROCERY ITEMS,HOUSING,UTILITIES,TRANSPORTATION,HEALTH CARE,MISC GOODS AND SERVICES
31-25580-420,Nebraska,Hastings NE Micro,Hastings NE,95.5,101.3,95.2,96.5,102.0,98.3,90.0
31-30700-600,Nebraska,Lincoln NE Metro,Lincoln NE,91.3,97.2,78.9,82.8,99.4,100.8,98.0
31-36540-700,Nebraska,Omaha-Council Bluffs NE-IA Metro,Omaha NE,91.2,94.7,83.0,89.2,96.3,101.2,94.2
32-29820-400,Nevada,Las Vegas-Henderson-Paradise NV Metro,Las Vegas NV,108.3,117.9,106.6,91.8,116.5,105.2,108.3
32-39900-600,Nevada,Reno NV Metro,Reno-Sparks NV,103.8,107.8,93.2,93.2,114.1,100.5,111.4
33-31700-500,New Hampshire,Manchester-Nashua NH Metro,Manchester NH,118.2,108.6,123.5,136.8,106.0,116.4,116.7
34-35084-500,New Jersey,Newark NJ-PA Metro Div.,Newark-Elizabeth NJ,126.9,109.2,165.8,113.8,107.3,106.7,114.9
34-35614-050,New Jersey,New York-Jersey City-White Plains NY-NJ Metro Div.,Bergen-Passaic NJ,129.1,111.9,173.8,111.2,106.4,107.6,114.8
34-35614-250,New Jersey,New York-Jersey City-White Plains NY-NJ Metro Div.,Middlesex-Monmouth NJ,122.0,111.3,150.3,111.0,107.1,111.1,112.7
35-10740-200,New Mexico,Albuquerque NM Metro,Albuquerque NM,95.8,92.4,97.3,91.6,101.6,97.4,95.0
35-10740-595,New Mexico,Albuquerque NM Metro,Rio Rancho NM,92.2,96.8,74.4,89.8,102.7,96.7,101.9
36-10580-001,New York,Albany-Schenectady-Troy NY Metro,Albany NY,111.1,106.1,122.6,90.5,106.8,100.4,112.9
36-15380-160,New York,Buffalo-Cheektowaga-Niagara Falls NY Metro,Buffalo NY,95.7,91.6,102.8,99.5,102.1,86.2,88.8
36-27060-450,New York,Ithaca NY Metro,Ithaca NY,106.1,102.8,117.9,87.3,110.8,108.5,101.2
36-35614-599,New York,New York-Jersey City-White Plains NY-NJ Metro Div.,New York (Brooklyn) NY,173.4,132.3,294.4,131.4,123.2,114.6,125.9
36-35614-600,New York,New York-Jersey City-White Plains NY-NJ Metro Div.,New York (Manhattan) NY,225.8,125.2,457.7,130.0,128.3,115.8,149.6
36-40380-750,New York,Rochester NY Metro,Rochester NY,99.0,96.6,93.3,90.4,111.3,98.7,103.2
37-11700-100,North Carolina,Asheville NC Metro,Asheville NC,99.2,100.3,99.9,94.3,99.0,101.0,99.4
37-15500-250,North Carolina,Burlington NC Metro,Burlington NC,91.9,97.7,77.4,95.4,97.4,98.7,98.0
37-16740-350,North Carolina,Charlotte-Concord-Gastonia NC-SC Metro,Charlotte NC,96.3,101.8,83.3,105.5,96.4,103.0,101.4
37-20500-300,North Carolina,Durham-Chapel Hill NC Metro,Chapel Hill NC,104.8,96.9,116.1,89.6,99.6,103.4,105.5
37-20500-440,North Carolina,Durham-Chapel Hill NC Metro,Durham NC,89.9,97.4,71.8,87.1,103.5,101.4,96.5
37-28620-400,North Carolina,Kill Devil Hills NC Micro,Dare County NC,108.4,104.2,108.4,113.4,99.4,106.6,112.5
37-39580-740,North Carolina,Raleigh NC Metro,Raleigh NC,91.0,101.0,73.8,98.3,91.7,100.1,97.8
37-48900-900,North Carolina,Wilmington NC Metro,Wilmington NC,98.3,101.9,86.4,108.6,106.0,109.4,99.2
37-49180-825,North Carolina,Winston-Salem NC Metro,Thomasville-Lexington NC,90.5,100.6,83.9,89.5,84.2,112.1,91.6
37-49180-950,North Carolina,Winston-Salem NC Metro,Winston-Salem NC,93.7,98.9,67.2,108.1,99.7,106.3,106.1
38-13900-200,North Dakota,Bismarck ND Metro,Bismarck-Mandan ND,101.7,106.7,106.2,85.6,106.9,109.9,97.7
38-22020-400,North Dakota,Fargo ND-MN Metro,Fargo-Moorhead ND-MN,98.3,108.1,90.6,96.9,98.9,114.5,98.7
38-33500-800,North Dakota,Minot ND Micro,Minot ND,103.5,109.4,110.6,86.6,92.9,108.8,103.5
39-10420-100,Ohio,Akron OH Metro,Akron OH,102.0,113.9,112.1,94.5,105.9,90.2,90.3
39-11740-200,Ohio,Ashland OH Micro,Ashland OH,82.9,94.9,59.7,93.5,101.4,90.6,86.4
39-17140-250,Ohio,Cincinnati OH-KY-IN Metro,Cincinnati OH,91.3,91.5,79.1,103.2,98.7,97.0,94.5
39-17460-300,Ohio,Cleveland-Elyria OH Metro,Cleveland OH,101.3,107.7,93.8,100.2,100.2,109.8,104.8
39-18140-350,Ohio,Columbus OH Metro,Columbus OH,90.6,92.8,78.3,98.1,93.2,95.9,96.4
39-19380-400,Ohio,Dayton OH Metro,Dayton OH,93.5,99.2,76.4,97.4,99.5,89.2,103.2
39-22300-425,Ohio,Findlay OH Micro,Findlay OH,96.6,100.5,90.3,102.4,92.0,97.6,100.1
39-30620-500,Ohio,Lima OH Metro,Lima OH,95.6,103.8,78.1,109.9,100.4,107.2,99.3
39-49300-825,Ohio,Wooster OH Micro,Wooster OH,91.7,95.2,80.3,105.4,93.2,93.4,95.0
39-49660-900,Ohio,Youngstown-Warren-Boardman OH-PA Metro,Youngstown-Warren OH,82.9,80.8,68.6,93.5,93.1,83.4,88.9
40-11620-100,Oklahoma,Ardmore OK Micro,Ardmore OK,85.3,94.3,75.9,83.8,86.3,91.0,88.9
40-21420-200,Oklahoma,Enid OK Micro,Enid OK,94.8,97.3,86.5,105.0,93.9,94.4,98.2
40-30020-400,Oklahoma,Lawton OK Metro,Lawton OK,93.1,99.0,91.9,87.9,96.2,104.8,90.5
40-34780-550,Oklahoma,Muskogee OK Micro,Muskogee OK,92.4,105.8,77.1,97.3,84.6,96.6,100.7
40-36420-150,Oklahoma,Oklahoma City OK Metro,Edmond OK,96.3,88.2,95.2,103.2,97.0,95.2,98.5
40-36420-675,Oklahoma,Oklahoma City OK Metro,Norman OK,83.1,88.1,69.9,90.7,84.9,87.8,88.8
40-36420-700,Oklahoma,Oklahoma City OK Metro,Oklahoma City OK,89.2,91.8,77.6,100.4,89.5,95.2,93.6
40-38620-712,Oklahoma,Ponca City OK Micro,Ponca City OK,90.9,95.5,76.5,102.0,94.0,98.6,95.8
40-44660-750,Oklahoma,Stillwater OK Micro,Stillwater OK,91.3,102.9,84.4,100.3,86.8,96.0,90.3
40-46140-800,Oklahoma,Tulsa OK Metro,Tulsa OK,86.7,96.4,65.2,95.7,94.1,95.1,94.4
40-88888-725,Oklahoma,NonMetro US,Pryor Creek OK,87.9,99.8,74.7,94.7,85.0,94.0,92.2
41-38900-600,Oregon,Portland-Vancouver-Hillsboro OR-WA Metro,Portland OR,128.4,114.5,164.9,84.5,117.2,111.8,123.1
42-21500-200,Pennsylvania,Erie PA Metro,Erie PA,99.3,105.9,86.4,85.2,100.1,93.3,113.0
42-25420-430,Pennsylvania,Harrisburg-Carlisle PA Metro,Harrisburg PA,99.1,96.4,90.6,115.8,92.4,90.5,106.2
42-27780-470,Pennsylvania,Johnstown PA Metro,Johnstown PA,94.3,103.7,72.0,106.9,110.9,98.5,98.9
42-37964-700,Pennsylvania,Philadelphia PA Metro Div.,Philadelphia PA,119.6,115.0,136.1,121.0,108.8,99.9,113.5
42-38300-750,Pennsylvania,Pittsburgh PA Metro,Pittsburgh PA,98.9,100.1,95.5,100.6,112.2,96.3,96.0
42-42540-815,Pennsylvania,Scranton-Wilkes-Barre-Hazleton PA Metro,Scranton PA,99.9,103.7,91.1,115.7,107.5,89.3,99.4
42-42540-900,Pennsylvania,Scranton-Wilkes-Barre-Hazleton PA Metro,Wilkes-Barre PA,99.7,102.8,101.7,115.7,107.3,78.6,91.4
42-48700-920,Pennsylvania,Williamsport PA Metro,Williamsport-Lycoming County PA,97.0,101.9,87.7,123.8,101.7,96.1,92.5
42-49620-950,Pennsylvania,York-Hanover PA Metro,York County PA,101.1,99.2,97.3,113.4,99.7,94.2,102.9
43-39300-250,Rhode Island,Providence-Warwick RI-MA Metro,Providence RI,123.3,115.6,136.9,125.1,105.6,116.3,122.0
45-16700-200,South Carolina,Charleston-North Charleston SC Metro,Charleston-N Charleston SC,101.1,107.7,96.7,114.3,91.8,106.5,100.5
45-17900-180,South Carolina,Columbia SC Metro,Camden SC,93.5,103.9,83.4,97.9,87.6,92.6,98.8
45-17900-300,South Carolina,Columbia SC Metro,Columbia SC,94.3,105.1,77.4,98.5,92.4,96.9,103.3
45-24860-150,South Carolina,Greenville-Anderson-Mauldin SC Metro,Anderson SC,90.7,105.9,72.4,95.3,92.0,98.6,97.1
45-24860-400,South Carolina,Greenville-Anderson-Mauldin SC Metro,Greenville SC,94.1,101.8,80.9,94.6,91.4,105.2,101.8
45-25940-150,South Carolina,Hilton Head Island-Bluffton-Beaufort SC Metro,Beaufort SC,99.5,114.0,87.7,107.3,94.5,98.7,103.0
45-25940-500,South Carolina,Hilton Head Island-Bluffton-Beaufort SC Metro,Hilton Head Island SC,108.2,111.5,109.9,105.8,94.5,112.3,110.8
45-34820-650,South Carolina,Myrtle Beach-Conway-North Myrtle Beach SC-NC Metro,Myrtle Beach SC,93.3,103.5,70.8,115.6,93.9,97.4,100.7
45-44940-850,South Carolina,Sumter SC Metro,Sumter SC,92.0,103.3,77.1,103.8,93.0,92.2,96.0
46-38180-700,South Dakota,Pierre SD Micro,Pierre SD,103.1,107.8,117.7,89.5,97.5,96.5,95.7
46-43620-800,South Dakota,Sioux Falls SD Metro,Sioux Falls SD,93.9,92.7,92.7,100.2,89.5,107.1,93.2
47-16860-300,Tennessee,Chattanooga TN-GA Metro,Chattanooga TN,94.8,93.9,90.1,97.1,95.0,102.9,97.5
47-17420-315,Tennessee,Cleveland TN Metro,Cleveland TN,87.5,92.8,82.8,81.5,85.2,87.7,92.2
47-18260-330,Tennessee,Cookeville TN Micro,Cookeville TN,84.6,91.9,70.9,89.2,91.6,86.7,89.1
47-27180-400,Tennessee,Jackson TN Metro,Jackson-Madison County TN,92.8,87.7,73.6,89.7,97.9,90.3,111.5
47-28940-500,Tennessee,Knoxville TN Metro,Knoxville TN,87.0,86.0,80.9,90.1,87.7,89.0,91.3
47-32820-600,Tennessee,Memphis TN-MS-AR Metro,Memphis TN,85.5,91.5,68.6,95.5,89.6,88.2,92.4
47-34100-640,Tennessee,Morristown TN Metro,Morristown TN,92.7,99.1,76.9,103.2,91.3,91.7,101.0
47-34980-325,Tennessee,Nashville-Davidson-Murfreesboro-Franklin TN Metro,Columbia-Maury County TN,94.3,101.3,85.8,91.9,92.3,83.8,101.6
47-34980-700,Tennessee,Nashville-Davidson-Murfreesboro-Franklin TN Metro,Nashville-Murfreesboro TN,94.4,96.5,81.3,95.7,98.8,86.6,104.1
48-10180-020,Texas,Abilene TX Metro,Abilene TX,93.3,92.5,91.5,75.6,99.0,92.4,98.9
48-11100-040,Texas,Amarillo TX Metro,Amarillo TX,86.1,93.3,73.7,82.6,92.2,95.8,91.4
48-11980-980,Texas,Athens TX Micro,Athens-Henderson County TX,91.1,97.5,73.7,101.8,92.9,89.3,99.6
48-12420-080,Texas,Austin-Round Rock TX Metro,Austin TX,95.5,84.0,89.7,102.6,98.0,102.5,101.5
48-12420-780,Texas,Austin-Round Rock TX Metro,Round Rock TX,91.8,84.9,90.2,96.0,91.2,103.5,93.6
48-12420-840,Texas,Austin-Round Rock TX Metro,San Marcos TX,86.9,82.6,75.7,88.4,101.5,93.9,91.5
48-13140-120,Texas,Beaumont-Port Arthur TX Metro,Beaumont TX,97.3,86.6,94.4,100.9,94.8,89.4,105.6
48-15180-140,Texas,Brownsville-Harlingen TX Metro,Brownsville TX,86.3,84.0,79.6,102.3,98.0,82.1,84.2
48-15180-435,Texas,Brownsville-Harlingen TX Metro,Harlingen TX,80.9,83.3,69.8,102.0,87.6,92.0,78.8
48-18580-200,Texas,Corpus Christi TX Metro,Corpus Christi TX,94.3,83.1,92.5,113.1,92.0,92.9,95.8
48-19124-124,Texas,Dallas-Plano-Irving Metro Metro Div.,Allen TX,98.5,89.5,113.2,91.8,108.4,104.0,87.2
48-19124-240,Texas,Dallas-Plano-Irving Metro Metro Div.,Dallas TX,96.4,102.4,76.2,100.3,99.5,102.3,108.2
48-19124-250,Texas,Dallas-Plano-Irving Metro Metro Div.,Denton TX,93.4,93.6,88.2,87.6,100.3,94.6,97.1
48-19124-770,Texas,Dallas-Plano-Irving Metro Metro Div.,Plano TX,100.3,100.4,90.7,101.6,115.0,100.5,102.6
48-21340-300,Texas,El Paso TX Metro,El Paso TX,92.0,104.0,83.4,86.3,102.0,92.4,92.2
48-23104-340,Texas,Fort Worth-Arlington TX Metro Div.,Fort Worth TX,102.4,94.4,98.2,95.5,100.5,101.8,112.6
48-26420-133,Texas,Houston-The Woodlands-Sugar Land TX Metro,Brazoria County TX,91.9,82.7,89.9,100.5,91.8,100.8,93.7
48-26420-180,Texas,Houston-The Woodlands-Sugar Land TX Metro,Conroe TX,91.4,86.6,87.7,95.2,91.4,99.4,94.4
48-26420-500,Texas,Houston-The Woodlands-Sugar Land TX Metro,Houston TX,97.9,85.3,104.7,98.5,91.7,90.9,100.5
48-28660-880,Texas,Killeen-Temple TX Metro,Temple TX,90.7,84.3,78.5,93.8,96.3,100.6,99.9
48-30980-620,Texas,Longview TX Metro,Longview TX,99.8,94.0,96.2,105.4,103.4,100.5,102.3
48-31180-640,Texas,Lubbock TX Metro,Lubbock TX,88.8,91.9,81.9,81.1,91.6,99.1,93.4
48-32580-670,Texas,McAllen-Edinburg-Mission TX Metro,McAllen TX,79.4,80.7,73.7,86.8,87.7,80.5,78.0
48-33260-700,Texas,Midland TX Metro,Midland TX,96.6,89.1,94.4,90.7,104.5,96.1,100.7
48-34860-710,Texas,Nacogdoches TX Micro,Nacogdoches TX,97.7,96.9,86.6,111.1,97.1,93.5,104.2
48-36220-720,Texas,Odessa TX Metro,Odessa TX,98.3,89.1,102.7,97.2,96.7,102.1,98.9
